city,timestamp,temperature,season
New York,2010-01-01,4.120785853938569,winter
New York,2010-01-02,-4.867444078658687,winter
New York,2010-01-03,0.6986580827953723,winter
New York,2010-01-04,1.8452578277301488,winter
New York,2010-01-05,6.568807496421606,winter
New York,2010-01-06,1.807780672026544,winter
New York,2010-01-07,-0.8666584041169365,winter
New York,2010-01-08,3.286344946701883,winter
New York,2010-01-09,1.8645088906655547,winter
New York,2010-01-10,2.2184793426046783,winter
New York,2010-01-11,-4.944508179139983,winter
New York,2010-01-12,4.719066572801884,winter
New York,2010-01-13,2.6034491835534284,winter
New York,2010-01-14,-0.7950958850720715,winter
New York,2010-01-15,3.0388527515357318,winter
New York,2010-01-16,-4.549333565639217,winter
New York,2010-01-17,7.246034872051608,winter
New York,2010-01-18,1.5823176697590196,winter
New York,2010-01-19,4.887682354223433,winter
New York,2010-01-20,1.5675423157735544,winter
New York,2010-01-21,1.2292874469658732,winter
New York,2010-01-22,-5.72802055830855,winter
New York,2010-01-23,0.9414080640723986,winter
New York,2010-01-24,-2.4671680173339787,winter
New York,2010-01-25,-9.33694445715879,winter
New York,2010-01-26,-4.302389859203309,winter
New York,2010-01-27,10.204096536289368,winter
New York,2010-01-28,2.352535008516882,winter
New York,2010-01-29,-4.0801045768515305,winter
New York,2010-01-30,4.6973610821223595,winter
New York,2010-01-31,3.407674082224399,winter
New York,2010-02-01,2.757683829919726,winter
New York,2010-02-02,-0.6049928923972955,winter
New York,2010-02-03,-3.5954680895470297,winter
New York,2010-02-04,2.8176147342577225,winter
New York,2010-02-05,4.475553971211078,winter
New York,2010-02-06,2.7018974366157966,winter
New York,2010-02-07,0.5309699029094466,winter
New York,2010-02-08,-2.9654252677206143,winter
New York,2010-02-09,3.4813261722169364,winter
New York,2010-02-10,5.667103281694769,winter
New York,2010-02-11,4.863793140018679,winter
New York,2010-02-12,0.414289698323076,winter
New York,2010-02-13,5.395705765808524,winter
New York,2010-02-14,-4.5378406802203495,winter
New York,2010-02-15,-10.023781457856595,winter
New York,2010-02-16,-3.5306535536479924,winter
New York,2010-02-17,-1.8326880175869182,winter
New York,2010-02-18,-0.4397733203103285,winter
New York,2010-02-19,10.673352497087343,winter
New York,2010-02-20,-3.981665424417684,winter
New York,2010-02-21,-11.720909778849002,winter
New York,2010-02-22,4.5834567962943655,winter
New York,2010-02-23,6.813655449276361,winter
New York,2010-02-24,5.10755211798987,winter
New York,2010-02-25,-1.8556754181233712,winter
New York,2010-02-26,8.158959899752515,winter
New York,2010-02-27,0.5789558100896313,winter
New York,2010-02-28,7.2237365116450425,winter
New York,2010-03-01,8.873500491223414,spring
New York,2010-03-02,4.352515267335644,spring
New York,2010-03-03,8.735026002499852,spring
New York,2010-03-04,11.643578911992691,spring
New York,2010-03-05,4.132181475215107,spring
